I0,I1,I2,I3,I4,I5,I6,I7,I8,I9
-118.432617,-117.443848,73.059013,73.060501,120.344238,0.000000,0.000000,0.000000,0.000000,0.000000
-122.283325,-121.311035,72.227524,72.226799,124.244385,0.000000,0.000000,0.000000,0.000000,0.000000
-126.205444,-125.216675,71.350540,71.351410,128.161011,0.000000,0.000000,0.000000,0.000000,0.000000
-130.111084,-129.133301,70.428482,70.428833,132.055664,0.000000,0.000000,0.000000,0.000000,0.000000
-134.016724,-133.038940,69.461716,69.461494,135.999756,0.000000,0.000000,0.000000,0.000000,0.000000
-137.988281,-136.999512,68.450752,68.449776,139.971313,0.000000,0.000000,0.000000,0.000000,0.000000
-141.954346,-140.960083,67.396011,67.396194,143.948364,0.000000,0.000000,0.000000,0.000000,0.000000
-145.964355,-144.959106,66.298080,66.297295,147.985840,0.000000,0.000000,0.000000,0.000000,0.000000
-150.001831,-148.991089,65.157486,65.157486,152.023315,0.000000,0.000000,0.000000,0.000000,0.000000
-154.050293,-153.028564,63.974743,63.975044,156.093750,0.000000,0.000000,0.000000,0.000000,0.000000
-158.142700,-157.120972,62.750553,62.750851,160.197144,0.000000,0.000000,0.000000,0.000000,0.000000
-162.240601,-161.224365,61.485462,61.486183,164.278564,0.000000,0.000000,0.000000,0.000000,0.000000
-166.305542,-165.289307,60.180237,60.180180,168.321533,0.000000,0.000000,0.000000,0.000000,0.000000
-170.332031,-169.326782,58.835457,58.835438,172.348022,0.000000,0.000000,0.000000,0.000000,0.000000
-174.380493,-173.358765,57.451927,57.451847,176.385498,0.000000,0.000000,0.000000,0.000000,0.000000
-178.385010,-177.390747,56.030434,56.030933,180.335083,0.000000,0.000000,0.000000,0.000000,0.000000
-182.290649,-181.318359,54.571728,54.571674,184.224243,0.000000,0.000000,0.000000,0.000000,0.000000
-186.146851,-185.185547,53.076553,53.076775,188.069458,0.000000,0.000000,0.000000,0.000000,0.000000
-189.975586,-189.025269,51.545864,51.545063,191.848755,0.000000,0.000000,0.000000,0.000000,0.000000
-193.672485,-192.771606,49.980476,49.980499,195.490723,0.000000,0.000000,0.000000,0.000000,0.000000
-197.286987,-196.380615,48.381233,48.380875,199.105225,0.000000,0.000000,0.000000,0.000000,0.000000
-200.917969,-200.011597,46.749111,46.749054,202.736206,0.000000,0.000000,0.000000,0.000000,0.000000
-204.510498,-203.626099,45.085121,45.085129,206.246338,0.000000,0.000000,0.000000,0.000000,0.000000
-207.943726,-207.092285,43.390179,43.390003,209.630127,0.000000,0.000000,0.000000,0.000000,0.000000
-211.333008,-210.476074,41.665230,41.665657,213.024902,0.000000,0.000000,0.000000,0.000000,0.000000
-214.656372,-213.848877,39.911423,39.911156,216.260376,0.000000,0.000000,0.000000,0.000000,0.000000
-217.803955,-217.034912,38.129749,38.129501,219.325562,0.000000,0.000000,0.000000,0.000000,0.000000
-220.792236,-220.072632,36.321293,36.321758,222.209473,0.000000,0.000000,0.000000,0.000000,0.000000
-223.593750,-222.901611,34.487076,34.487007,224.956055,0.000000,0.000000,0.000000,0.000000,0.000000
-226.318359,-225.653687,32.628361,32.628521,227.614746,0.000000,0.000000,0.000000,0.000000,0.000000
-228.856201,-228.240967,30.746164,30.746193,230.042725,0.000000,0.000000,0.000000,0.000000,0.000000
-231.163330,-230.603027,28.841784,28.841457,232.250977,0.000000,0.000000,0.000000,0.000000,0.000000
