I0,I1,I2,I3,I4,I5,I6,I7,I8,I9
17.166138,16.501465,-112.733673,-112.732445,-18.511963,0.000000,0.000000,0.000000,0.000000,0.000000
19.841309,19.176636,-112.022934,-112.022026,-21.176147,0.000000,0.000000,0.000000,0.000000,0.000000
22.510986,21.846313,-111.279625,-111.281006,-23.840332,0.000000,0.000000,0.000000,0.000000,0.000000
25.180664,24.505005,-110.503975,-110.505600,-26.515503,0.000000,0.000000,0.000000,0.000000,0.000000
27.855835,27.191162,-109.696045,-109.695953,-29.179688,0.000000,0.000000,0.000000,0.000000,0.000000
30.509033,29.838867,-108.856041,-108.856155,-31.827393,0.000000,0.000000,0.000000,0.000000,0.000000
33.140259,32.486572,-107.984146,-107.982445,-34.464111,0.000000,0.000000,0.000000,0.000000,0.000000
35.793457,35.128784,-107.080482,-107.080872,-37.111816,0.000000,0.000000,0.000000,0.000000,0.000000
38.419189,37.760010,-106.145348,-106.145767,-39.732056,0.000000,0.000000,0.000000,0.000000,0.000000
41.044922,40.391235,-105.178856,-105.179268,-42.335815,0.000000,0.000000,0.000000,0.000000,0.000000
43.632202,42.984009,-104.181229,-104.181602,-44.934082,0.000000,0.000000,0.000000,0.000000,0.000000
46.219482,45.576782,-103.152718,-103.152954,-47.504883,0.000000,0.000000,0.000000,0.000000,0.000000
48.801270,48.153076,-102.093506,-102.093597,-50.081177,0.000000,0.000000,0.000000,0.000000,0.000000
51.344604,50.707397,-101.003914,-101.005707,-52.635498,0.000000,0.000000,0.000000,0.000000,0.000000
53.898926,53.267212,-99.884132,-99.883659,-55.167847,0.000000,0.000000,0.000000,0.000000,0.000000
56.442261,55.805054,-98.734413,-98.735580,-57.711182,0.000000,0.000000,0.000000,0.000000,0.000000
58.985596,58.348389,-97.555054,-97.555771,-60.276489,0.000000,0.000000,0.000000,0.000000,0.000000
61.545410,60.913696,-96.346344,-96.346550,-62.836304,0.000000,0.000000,0.000000,0.000000,0.000000
64.121704,63.484497,-95.108543,-95.108223,-65.412598,0.000000,0.000000,0.000000,0.000000,0.000000
66.703491,66.055298,-93.841980,-93.842941,-67.983398,0.000000,0.000000,0.000000,0.000000,0.000000
69.285278,68.631592,-92.546967,-92.547180,-70.592651,0.000000,0.000000,0.000000,0.000000,0.000000
71.894531,71.246338,-91.223785,-91.223213,-73.207397,0.000000,0.000000,0.000000,0.000000,0.000000
74.525757,73.872070,-89.872856,-89.871361,-75.844116,0.000000,0.000000,0.000000,0.000000,0.000000
77.151489,76.497803,-88.494377,-88.495842,-78.486328,0.000000,0.000000,0.000000,0.000000,0.000000
79.821167,79.145508,-87.088791,-87.089203,-81.139526,0.000000,0.000000,0.000000,0.000000,0.000000
82.474365,81.804199,-85.656448,-85.657631,-83.814697,0.000000,0.000000,0.000000,0.000000,0.000000
85.155029,84.490356,-84.197685,-84.197678,-86.506348,0.000000,0.000000,0.000000,0.000000,0.000000
